页标标题          url地址名称      页面效果资源（请从这里下载源码进行整合）   制作要求
------------------------------------------------------------------------------------------------------
粒子迷幻时钟       lzmhsz           http://codepen.io/msurguy/pen/tDCvp     让时钟居中显示，黑底

行走的黑猫         xzdhm            http://codepen.io/CrowChick/pen/bpAJH    不让猫咪消失,文字稍后替换

投掷骰子           tzsz             http://codepen.io/outofroutine/pen/CADvB 按钮变中文字

跃动斑点           ydbd             http://codepen.io/soulwire/pen/kqHxB   全面布满一排排斑点,删掉所有字

渐变色光球         jbsgq            http://codepen.io/peterwestendorp/pen/wGECk  把球调大点600-700PX左右

马赛克墙           mskq             http://codepen.io/flash-monkey/pen/Efskr  默认效果

雷达扫描频谱       ldsmpp           http://codepen.io/jackrugile/pen/DGenc 把左侧功能汉化即可

旋转点             xzd              http://codepen.io/davidchase/pen/qkKpx  看看能否把球变多,一层一层的

音频效果           ypxg             http://codepen.io/sumitsarkar/pen/IfLnz  放大移至底部

马赛克肖像         mskxx            http://codepen.io/briangonzalez/pen/AvrGI 图片替换为雷鬼音乐人(需要用到ruby)

甲壳虫乐队         jkcyd            http://codepen.io/webbushka/pen/mFsnq   默认效果

大果冻             gdxg             http://codepen.io/adrianleb/pen/roBaf   让效果占半屏幕，颜色调鲜艳。

奇怪的二维码     qgdewm             http://codepen.io/jorisvddonk/pen/xIwJB 按钮汉化，二维码居中，按钮居中

凌乱线条         llxt               http://codepen.io/soulwire/pen/mfkHo  汉化功能按钮即可。

立体方块         ltfk               http://codepen.io/grayghostvisuals/pen/GIigc 把顶部白字删除，其他默认

立体星仪         ltxy               http://codepen.io/danielemoraschi/pen/psKHv 放大到600-700PX

和平文字         hpwz               http://codepen.io/tholman/pen/qCnfB 把提示汉化,内容填入“Peace!”+10个

2B香蕉           2bxj               http://codepen.io/Simonclavey/pen/njwvy 放大1倍，居中即可

动态点           dtd                http://codepen.io/sinthetyc/pen/uszav  稍微放大，居中显示

立体星仪2        ltxy2              http://codepen.io/kidnickels/pen/zHpah 默认，稍微加速一点

红色光环         hsgh               http://codepen.io/aardrian/pen/frlgC 汉化功能按钮,效果放大2倍即可

记事本           jsb                http://codepen.io/stijnvc/pen/kxbgH 默认居中，美观调整即可。

梦幻光环         mhgh               http://codepen.io/micjamking/pen/HqgGe 效果放大一倍即可

双色线条         ssxt               http://codepen.io/tholman/pen/Jochj 默认

层层齿轮         cccl               http://codepen.io/vmilo/pen/mzEhA 默认居中

小桃心           xtx                http://codepen.io/dievardump/pen/pwuKo  尽量大点居中。

密集恐惧点       mjkjd              http://codepen.io/loktar00/pen/voIuq 默认
 
方形幻觉         fxhj               http://codepen.io/HugoGiraudel/pen/GkCuq 默认 

2B小人           2bxr               http://codepen.io/mastastealth/pen/ovFhq 默认居中

药丸里的猫       ywldm              http://codepen.io/shaunkardinal/pen/JkpoC 默认

原型节点         yxjd               http://codepen.io/tholman/pen/AmptL 放大1倍居中

迷幻循环线条     mhxhxt             http://codepen.io/adkatrit/pen/AfFye 默认即可

满屏幕的虫       mpmdc              http://codepen.io/soulwire/pen/zhLeK 默认

星空             xk                 http://codepen.io/WillemCrnlssn/pen/JgFGs 默认

云层飞行         ycfx               http://codepen.io/sinthetyc/pen/nLxrJ 默认

太空星轨         tkxg               http://codepen.io/juliangarnier/pen/idhuG 汉化功能

000000          000000              http://codepen.io/mareis/pen/oHAGL 默认

单点循环        ddxh                http://codepen.io/jackrugile/pen/sadvF 默认

追随耀光        zsyg                http://codepen.io/hakimel/pen/KanIi  默认

海面            hm                  http://codepen.io/loktar00/pen/kfrKC  默认

花藤            ht                  http://codepen.io/tholman/pen/EpfLs 默认

迷幻扑克        mhpk                http://codepen.io/loktar00/pen/Fuxrc 默认

草原            cy                  http://codepen.io/jackrugile/pen/vKtAE 删除左侧白字，其他默认

peace霓虹灯     peacenhd            http://codepen.io/neilcarpenter/pen/zFlay 把文字替换成peace

经典管道        jdgd                http://codepen.io/sinthetyc/pen/wGAkb 默认居中

俄罗斯方块     elsfk                http://codepen.io/JorenVanHee/pen/ycodJ  居中，放大4倍效果

超级玛丽       cjml                 http://codepen.io/GianlucaGuarini/pen/anwFE 颜色切换速度加快2倍

线条圆         xty                  http://codepen.io/hakimel/pen/HBkxg  放大1倍居中

圆柱圆点       yzyd                 http://codepen.io/tholman/pen/rdatv  居中默认

迷幻蒙娜丽莎    mhmnls              http://codepen.io/tholman/pen/qLsCb 图放大1倍，汉化按钮放图下面，居中

迷幻旋转方块   mhxzfk               http://codepen.io/micjamking/pen/obdGw 放大1倍

迷幻光电       mhgd                 http://codepen.io/jackrugile/pen/Drykf 默认

下雨天         xyt                  http://codepen.io/alemesre/pen/hAxGg 默认,看换背景大图卡不卡？

声纳线         snx                  http://codepen.io/hakimel/pen/zwxba 默认样式，汉化功能按钮

环绕点         hrd                  http://codepen.io/hakimel/pen/mBIro  默认 汉化功能

声音波普      sybp                  http://codepen.io/Flawless13/pen/ecaAv 底部居中，放大1倍

迷幻色谱      mhsp                  http://codepen.io/HugoGiraudel/pen/nGsqr 放大2倍居中，灰背景(灰度和原周围一样颜色)

幻氛围        hfw                   http://codepen.io/sinthetyc/pen/jgcwC 默认居中

渐变波纹      jbbw                  http://codepen.io/onedayitwillmake/pen/Evyfp 默认居中

北极光幻      bjgh                  http://codepen.io/jackrugile/pen/jqwHE  默认底部

渐变灰纹      jbhw                  http://codepen.io/turusuke/pen/trgsx 默认

卫星图        wxt                   http://codepen.io/karimcossutti/pen/nmsib 默认居中

变异线条      byxt                  http://codepen.io/tholman/pen/foxtn  默认样式，汉化按钮，去掉说明

